RepRapFirmware height map file v2, min error -0.020, max error 0.325, mean 0.102, deviation 0.088
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
15.00,285.00,15.00,185.00,-1.00,45.00,42.50,7,5
  0.154,  0.051, -0.020, -0.019, -0.015,  0.057,  0.148
  0.206,  0.088,  0.010,  0.002,  0.001,  0.071,  0.156
  0.222,  0.113,  0.034,  0.006, -0.005,  0.062,  0.152
  0.277,  0.163,  0.079,  0.049,  0.026,  0.096,  0.179
  0.325,  0.248,  0.126,  0.113,  0.092,  0.125,  0.202
